Brand,Parent Company,Parent Company Country
Acura,Honda,Japan
Aion,GAC,China
Aishang,Aishang,China
AITO,Seres,China
Aiways,Aiways,China
Aletra,Aletra,China
Alfa Romeo,Stellantis,Netherlands
Alpine,Renault-Nissan-Mitsubishi,France
ArcFox,BAIC,China
Aston Martin,Aston Martin,United Kingdom
Audi,Volkswagen Group,Germany
Avatr,Changan,China
Baidu,Baidu,China
Baizhi,Baizhi,China
Baojun,SAIC-GM-Wuling,China
BAW,BAW,China
Bentley,Volkswagen Group,Germany
Bestune,FAW,China
BJEV,BAIC,China
BMW,BMW,Germany
Bollore,Bollore,France
Borgward,BAIC,China
Brightdrop,General Motors,USA
Brilliance,Brilliance,China
Brilliance Jinbei,Brilliance,China
Brilliance SWM,Brilliance,China
Brilliance Zinoro,Brilliance,China
Buick,General Motors,USA
BYD,BYD,China
Cadillac,General Motors,USA
CAM,CAM,China
Cenntro,Cenntro,USA
Changan,Changan,China
Changhe,BAIC,China
Chery,Chery,China
Chevrolet,General Motors,USA
Chrysler,Stellantis,Netherlands
Cirelli,Cirelli,Italy
Citroen,Stellantis,Netherlands
CMC,China Motor Corp,Taiwan
Cupra,Volkswagen Group,Germany
Dacia,Renault-Nissan-Mitsubishi,France
Dayun,Dayun,China
Deepal,Changan,China
Denza,BYD,China
Dodge,Stellantis,Netherlands
Dongfeng,Dongfeng,China
DS,Stellantis,Netherlands
E-Go,e.Go Mobile,Germany
Ebro,Ebro,Spain
Emgrand,Geely,China
Esagono,Esagono,Italy
Euler,Great Wall Motors,China
EV House,EV House,China
Evolute,Motorinvest,Russia
Exeed,Chery,China
Fang Cheng Bao,BYD,China
Faraday Future,Faraday Future,USA
Farizon,Geely,China
Feifan,SAIC,China
Fengguang,Dongfeng,China
Fengshen,Dongfeng,China
Ferrari,Ferrari,Italy
Fiat,Stellantis,Netherlands
Firefly,NIO,China
Fisker,Fisker,USA
FOMM,FOMM,Japan
Ford,Ford,USA
Forthing,Dongfeng,China
Foton,BAIC,China
Foxtron,Foxconn,Taiwan
Galaxy,Geely,China
Gecko,Gecko,China
Geely,Geely,China
Genesis,Hyundai Motor Group,South Korea
Geometry,Geely,China
GMC,General Motors,USA
Golden Dragon,King Long,China
Goupil,Goupil,France
Great Wall,Great Wall Motors,China
Guangxi Auto,Guangxi Auto,China
Guizhou,Guizhou,China
Guoxin,Guoxin,China
Haima,Haima,China
Hanteng,Hanteng,China
Haval,Great Wall Motors,China
Hawtai,Hawtai,China
Hedmos,Hedmos,China
Helmarv,Helmarv,China
Hengchi,Evergrande,China
Hengrun,Hengrun,China
Henrey,Henrey,China
HiPhi,Human Horizons,China
Hispano Suiza,Hispano Suiza,Spain
Holden,General Motors,USA
Honda,Honda,Japan
Hongqi,FAW,China
Honri,Honri,China
Horki,GAC,China
Huazi,BAIC,China
Hycan,GAC,China
Hyundai,Hyundai Motor Group,South Korea
IM (Zhiji Motor),SAIC,China
Isuzu,Isuzu,Japan
Iveco,Iveco,Italy
JAC iEV,JAC,China
Jaecoo,Chery,China
Jaguar,Tata,India
Jeep,Stellantis,Netherlands
JEM,JEM,China
Jetour,Chery,China
Ji Yue,Geely,China
Jiayuan,Jiayuan,China
Jiefang,FAW,China
JIM,JAC,China
JMC,JMC,China
JMEV,JMC,China
Joylong,Joylong,China
Jun Feng,Jun Feng,China
Junchi,FAW,China
Juneyao,Juneyao,China
Junpai,FAW,China
Kailu,Changan,China
Kaiyi,Chery,China
Kandi,Kandi,China
Karma,Wanxiang,China
Karry,Chery,China
Keyton,Keyton,China
KGM,KG Mobility,South Korea
Kia,Hyundai Motor Group,South Korea
King Long,King Long,China
Lamborghini,Volkswagen Group,Germany
Lancia,Stellantis,Netherlands
Land Rover,Tata,India
Leapmotor,Leapmotor,China
Leopaard,GAC,China
LEVC,Geely,China
Levdeo,Levdeo,China
Lexus,Toyota,Japan
Li Xiang,Li Auto,China
Liebao,Liebao,China
Lifan,Lifan,China
Lightyear,Lightyear,Netherlands
Lincoln,Ford,USA
Lingbox,Lingbox,China
Linghui,Linghui,China
Lingxi,Geely,China
Link Tour,Link Tour,China
Linktour,Link Tour,China
Livan,Geely,China
Lordstown,Lordstown,USA
Lotus,Geely,China
Lucid,Lucid,USA
Luxeed,Chery,China
Luxgen,Yulon,Taiwan
Lynk & Co,Geely,China
Maextro,JAC,China
Mahindra,Mahindra,India
MAN,Volkswagen Group,Germany
Maple,Geely,China
Maserati,Stellantis,Netherlands
Maxus,SAIC,China
Mazda,Mazda,Japan
McLaren,McLaren,United Kingdom
Mengshi,Dongfeng,China
Mercedes-Benz,Mercedes-Benz,Germany
MG,SAIC,China
Mine,Mine,China
Mini,BMW,Germany
Mitsubishi,Renault-Nissan-Mitsubishi,France
Mobilize,Renault-Nissan-Mitsubishi,France
Modern Auto,Modern Auto,China
Montra,Murugappa,India
Moskvitch,Moskvitch,Russia
Mozo,Mozo,China
MW,MW,China
Neta,Hozon,China
NEVS,NEVS,Sweden
Nextem,Nextem,China
NIO,NIO,China
Nissan,Renault-Nissan-Mitsubishi,France
OHM,GAC,China
Omoda,Chery,China
Onvo,NIO,China
Opel / Vxh.,Stellantis,Netherlands
Ora,Great Wall Motors,China
Oushang,Changan,China
Perodua,Perodua,Malaysia
